img_id,object_0,anti_label,com_label,attribute
color_63_0_4_ct.png,washing machine,black,white,color
color_792_0_4_ct.png,whisk,orange,silver,color
color_884_0_0_ct.png,base plate,blue,white,color
color_464_1_1_ct.png,skatepark,green,gray,color
color_843_1_0_ct.png,short grass,blue,green,color
color_975_0_1_ct.png,beetle,silver,white,color
color_603_0_4_ct.png,tanker,brown,black,color
color_134_0_3_ct.png,lily,yellow,white,color
color_387_1_0_ct.png,olive slice,yellow,black,color
color_88_0_1_ct.png,soap dish,red,white,color
color_760_1_3_ct.png,tile wall,yellow,white,color
color_327_0_2_ct.png,bath towel,blue,white,color
color_805_1_3_ct.png,grinder,yellow,brown,color
color_34_1_4_ct.png,watering can,white,green,color
color_856_0_1_ct.png,cat paw,pink,white,color
color_21_1_4_ct.png,tail light,brown,red,color
color_0_0_2_ct.png,crosswalk,green,white,color
color_577_0_4_ct.png,mohawk,white,black,color
color_488_1_4_ct.png,t.v.,blue,black,color
color_583_0_2_ct.png,handset,white,black,color
color_304_1_1_ct.png,headstone,brown,gray,color
color_126_0_3_ct.png,tubing,blue,black,color
color_619_1_0_ct.png,handcuff,brown,silver,color
color_66_1_1_ct.png,street line,blue,white,color
color_445_0_4_ct.png,rowboat,purple,white,color
color_630_1_2_ct.png,curly hair,red,brown,color
color_730_0_0_ct.png,book shelf,silver,black,color
color_617_1_3_ct.png,tyre,red,black,color
color_50_1_2_ct.png,power strip,gray,white,color
color_609_0_1_ct.png,tiara,blue,silver,color
color_227_1_4_ct.png,gondola,orange,yellow,color
color_919_1_2_ct.png,broccoli piece,red,green,color
color_750_1_4_ct.png,lima bean,blue,green,color
color_92_1_3_ct.png,fence bar,brown,black,color
color_243_1_0_ct.png,business sign,red,white,color
color_49_1_3_ct.png,computer desk,red,brown,color
color_946_0_0_ct.png,polkadot,silver,white,color
color_507_1_4_ct.png,powder,silver,white,color
color_344_0_3_ct.png,nike swoosh,orange,white,color
color_101_1_4_ct.png,tan shirt,green,brown,color
color_386_1_1_ct.png,knife handle,white,black,color
color_809_0_4_ct.png,toilet paper roll,black,white,color
color_427_1_3_ct.png,hairbrush,brown,black,color
color_582_1_0_ct.png,burger,green,brown,color
color_1021_1_3_ct.png,elephant leg,purple,gray,color
color_348_1_3_ct.png,catcher's mask,green,black,color
color_822_1_4_ct.png,treetop,red,green,color
color_468_0_4_ct.png,t,black,white,color
color_174_0_4_ct.png,rv,orange,white,color
color_490_1_4_ct.png,skateboarder,gray,white,color
color_796_1_2_ct.png,door trim,gray,white,color
color_536_1_4_ct.png,city,green,white,color
color_316_1_2_ct.png,patio chair,green,black,color
color_496_1_4_ct.png,angel,white,yellow,color
color_170_1_0_ct.png,wooden desk,orange,brown,color
color_685_1_4_ct.png,letter t,red,white,color
color_872_1_4_ct.png,trail marker,blue,red,color
color_880_1_2_ct.png,luggage bag,blue,black,color
color_607_1_0_ct.png,smiley face,purple,yellow,color
color_532_1_1_ct.png,vein,yellow,white,color
color_484_0_2_ct.png,wood table,green,brown,color
color_206_1_3_ct.png,burner,silver,black,color
color_820_1_2_ct.png,car tire,blue,black,color
color_156_0_2_ct.png,modem,yellow,black,color
color_56_0_2_ct.png,fountain,silver,white,color
color_334_1_3_ct.png,wall outlet,gray,white,color
color_162_0_2_ct.png,manhole,brown,black,color
color_319_1_2_ct.png,wedding dress,silver,white,color
color_448_1_0_ct.png,leather chair,silver,brown,color
color_828_0_4_ct.png,wedding gown,brown,white,color
color_954_0_4_ct.png,sandy beach,gray,brown,color
color_221_0_3_ct.png,overcast sky,white,gray,color
color_415_1_4_ct.png,highlight,blue,red,color
color_108_1_2_ct.png,iron fence,yellow,black,color
color_315_0_4_ct.png,leather jacket,purple,black,color
color_906_0_2_ct.png,wooded area,purple,green,color
color_182_1_0_ct.png,bannister,yellow,white,color
color_801_1_2_ct.png,bathmat,brown,white,color
color_118_1_4_ct.png,baseball,blue,white,color
color_121_0_4_ct.png,barstool,red,black,color
color_960_0_0_ct.png,meatball,orange,red,color
color_511_1_4_ct.png,showerhead,gray,silver,color
color_357_1_2_ct.png,maple leaf,purple,red,color
color_420_1_4_ct.png,walk signal,pink,green,color
color_253_1_3_ct.png,crosswalk line,pink,white,color
color_512_1_4_ct.png,ramekin,gray,white,color
color_768_0_4_ct.png,cloudless sky,pink,blue,color
color_1008_0_0_ct.png,subway tile,silver,white,color
color_735_0_2_ct.png,phone case,yellow,black,color
color_985_1_4_ct.png,hanky,blue,white,color
color_591_1_0_ct.png,windsock,pink,orange,color
color_640_0_1_ct.png,hurdle,orange,white,color
color_83_0_0_ct.png,bathroom sink,silver,white,color
color_345_0_4_ct.png,meadow,black,green,color
color_321_0_0_ct.png,butterknife,red,silver,color
color_212_1_3_ct.png,manhole cover,blue,black,color
color_1020_1_2_ct.png,big tree,gray,green,color
color_123_0_4_ct.png,foilage,brown,green,color
color_100_1_0_ct.png,whisker,silver,white,color
color_939_1_1_ct.png,brussel sprout,pink,green,color
color_308_1_2_ct.png,extinguisher,purple,red,color
color_74_0_2_ct.png,lemon,blue,yellow,color
color_99_1_4_ct.png,water tower,yellow,white,color
color_153_0_0_ct.png,power line,orange,black,color
color_600_1_2_ct.png,gum,gray,pink,color
color_802_0_0_ct.png,waffle,white,brown,color
color_1016_0_4_ct.png,giraffe leg,orange,brown,color
color_20_0_4_ct.png,box truck,black,white,color
color_411_1_1_ct.png,tissue paper,pink,white,color
color_1000_0_1_ct.png,slice of strawberry,black,red,color
color_70_0_4_ct.png,light switch,yellow,white,color
color_539_1_0_ct.png,stomach,brown,white,color
color_270_1_0_ct.png,strawberry,pink,red,color
color_510_0_1_ct.png,soccer goal,black,white,color
