img_id,object_0,anti_label,com_label,attribute
shape_354_4_1_ct.png,white sign,heart,square,shape
shape_5_3_0_ct.png,doughnut,polygon,round,shape
shape_334_3_1_ct.png,red light,rectangle,round,shape
shape_41_2_1_ct.png,red sign,polygon,round,shape
shape_212_4_1_ct.png,birthday cake,square,round,shape
shape_115_1_1_ct.png,pie,heart,round,shape
shape_100_4_1_ct.png,clock face,rhombus,round,shape
shape_330_1_0_ct.png,flower pot,rhombus,round,shape
shape_321_0_0_ct.png,chandelier,polygon,round,shape
shape_81_0_1_ct.png,pole,cross,round,shape
shape_404_3_0_ct.png,bowling ball,polygon,round,shape
shape_329_2_0_ct.png,cart,heart,square,shape
shape_255_1_1_ct.png,sticky note,round,rectangle,shape
shape_212_4_0_ct.png,birthday cake,square,round,shape
shape_374_1_1_ct.png,pizza box,rhombus,square,shape
shape_185_4_0_ct.png,floor tile,cross,square,shape
shape_26_2_0_ct.png,cage,triangle,round,shape
shape_239_0_0_ct.png,serving plate,rhombus,round,shape
shape_400_3_0_ct.png,sushi,star,round,shape
shape_315_4_0_ct.png,pavers,round,square,shape
shape_383_1_1_ct.png,pizza tray,square,round,shape
shape_61_2_1_ct.png,grid,oval,square,shape
shape_289_4_0_ct.png,pasta,heart,round,shape
shape_416_4_1_ct.png,gold ball,triangle,round,shape
shape_249_3_1_ct.png,wall tile,rhombus,square,shape
shape_56_2_1_ct.png,face,triangle,round,shape
shape_28_0_0_ct.png,shutter,rectangle,square,shape
shape_165_1_1_ct.png,boulder,cross,round,shape
shape_244_1_0_ct.png,tortilla,heart,round,shape
shape_298_4_0_ct.png,case,rectangle,square,shape
shape_417_3_0_ct.png,parquet floor,polygon,square,shape
shape_327_2_1_ct.png,pet toy,polygon,round,shape
shape_291_3_1_ct.png,concrete,heart,square,shape
shape_0_2_1_ct.png,light,cross,round,shape
shape_189_1_0_ct.png,mat,square,round,shape
shape_332_1_1_ct.png,vegetable,rhombus,round,shape
